GPIO,LCD,USB,RTC,SD,ES8311,QMI8658C,SYS,OUT,,
GPIO1,,,,,,,,,,
GPIO2,,,,,,,,,,
GPIO3,,,,,,,,,,
GPIO4,,,,,,,BAT_ADC,,,
GPIO5,LCD RS,,,,,,,,,
GPIO6,LCD TE,,,,,,,,,
GPIO7,TP INT,,,,,,,,,
GPIO8,,,,,I2S DSDIN,,,,,
GPIO9,,,,,I2S SCLK,,,,,
GPIO10,,,,,I2S ASDOUT,,,,,
GPIO11,,,,,,,,,,
GPIO12,LCD SDA,,,,,,,,,
GPIO13,TP SDA,,RTC SDA,,,ESP32 SDA,,ESP32 SDA,,
GPIO14,TP SCL,,RTC SCL,,,ESP32 SCL,,ESP32 SCL,,
GPIO15,,,RTC INT,,,,,,,
GPIO16,,,,,I2S MCLK,,,,,
GPIO17,,,,,,,,GPIO17,,
GPIO18,,,,,,,KEY,,,
GPIO19,,,,,,,USB' N,,,
GPIO20,,,,,,,USB' P,,,
GPIO21,,,,MOSI,,,,,,
GPIO38,,,,SCK,,,,,,
GPIO39,,,,MISO,,,,,,
GPIO40,LCD CS,,,,,,,,,
GPIO41,LCD RESET,,,,,,,,,
GPIO42,TP RESET,,,,,,,,,
GPIO43,,,,,,,,U0TXD,,
GPIO44,,,,,,,,U0RXD,,
GPIO45,,,,,I2S LRCK,,,,,
GPIO46,,,,,PA CTRL,,,,,
